,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
894,2013,Infiniti,G37, 15995, Paramus, NJ ,103988,Accident Reported,Sedan,White_Engine:_6_Cyl_3.7_L_,3+ Owners,Personal Use,18
895,2013,Infiniti,G37, 15663, Farmingdale, NY ,75926,Accident Reported,Sedan,Blue_Engine:_6_Cyl_3.7_L_,CARFAX 1-Owner,Personal Use,5
896,2019,Infiniti,Q50_Luxe, 33995, Englewood, NJ ,2000,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Vehicle Use,1
897,2015,Infiniti,QX60_Base, 29950, Elmont, NY ,25245,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.5_L_,3+ Owners,Multiple Use,22
898,2017,Infiniti,QX50_Base, 26995, North Bergen, NJ ,39369,Accident/Minor Damage,SUV,Gray_Engine:_6_Cyl_3.7_L_,2-Owner,Personal Use,9
899,2013,Infiniti,M37, 25950, Elmont, NY ,52597,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.7_L_,3+ Owners,Multiple Use,21
900,2017,Infiniti,Q60_Premium, 35950, Elmont, NY ,49323,No Accident or Damage Reported,Coupe,6_Cyl_3.0_L_,Number of Owners,Commercial Use,7
901,2017,Infiniti,Q70, 24995, Great Neck, NY ,40952,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.7_L_,CARFAX 1-Owner,Personal Use,0
902,2018,Infiniti,Q60_Luxe, 31900, Rahway, NJ ,46763,Damage Reported,Coupe,White_Engine:_6_Cyl_3.0_L_,3+ Owners,Multiple Use,8
903,2018,Infiniti,QX30_Luxury, Call for Price, Rahway, NJ ,31864,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,4
904,2018,Infiniti,Q50_Sport, 27995, Bronx, NY ,24760,Accident/Minor Damage,Sedan,Blue_Engine:_6_Cyl_3.0_L_,2-Owner,Personal Use,2
905,2017,Infiniti,Q60_Red_Sport_400, 32490, Bronx, NY ,48561,No Accident or Damage Reported,Coupe,Black_Engine:_6_Cyl_3.0_L_,3+ Owners,Multiple Use,0
906,2019,Infiniti,Q50, Call for Price, Fairfield, CT ,0,No Accident or Damage Reported,Sedan,6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,1
907,2018,Infiniti,Q50, Call for Price, Fairfield, CT ,0,No Accident or Damage Reported,Sedan,6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,6
908,2017,Infiniti,Q50_Red_Sport_400, Call for Price, Fairfield, CT ,0,No Accident or Damage Reported,Sedan,6_Cyl_3.0_L_,2-Owner,Personal Use,12
909,2015,Infiniti,QX60_Base, 19990, Great Neck, NY ,71255,No Accident or Damage Reported,SUV,6_Cyl_3.5_L_,2-Owner,Multiple Use,2
910,2015,Infiniti,Q50_Premium, 22999, Newark, NJ,49511,No Accident or Damage Reported,Sedan,Silver_Engine:_6_Cyl_3.7_L_,2-Owner,Personal Use,0
911,2018,Infiniti,Q50_Luxe, 22490, Valley Stream, NY ,39446,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.0_L_,2-Owner,Multiple Use,5
912,2012,Infiniti,G37, 11989, Butler, NJ ,98741,Minor Damage,Sedan,White_Engine:_6_Cyl_3.7_L_,3+ Owners,Personal Use,9
913,2015,Infiniti,Q50, 18900, Bloomfield, NJ ,61483,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.7_L_,Number of Owners,Personal Use,4
914,2016,Infiniti,Q50_Red_Sport_400, 30995, Manalapan, NJ ,38099,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.0_L_,2-Owner,Personal Use,23
